sample,block,mean_alpha,std_alpha,corr_inv_alpha_grad
0,0,0.5201820731163025,0.028876863420009613,0.029444507631968517
0,1,0.5531232357025146,0.010648908093571663,-0.13236113754876297
0,2,0.545628547668457,0.005177008453756571,0.13643907421481166
0,3,0.5270063281059265,0.009013058617711067,0.32101684983477685
1,0,0.5077195763587952,0.02097345143556595,0.18699116637791943
1,1,0.5594332218170166,0.005253479350358248,0.011574068064936709
1,2,0.5402665138244629,0.004822173155844212,-0.024951175958894824
1,3,0.5268006324768066,0.008142512291669846,0.1133627422705936
2,0,0.5420234203338623,0.01772502437233925,-0.07158246731544561
2,1,0.5155211091041565,0.010033642873167992,-0.0853024214164447
2,2,0.487815797328949,0.0036608928348869085,-0.0828924261175161
2,3,0.5365704298019409,0.0024916986003518105,0.13979166247717031
3,0,0.5398238897323608,0.01731536164879799,0.16660874198483452
3,1,0.5038881897926331,0.0010680791456252337,-0.060897150539096986
3,2,0.4731610417366028,0.004237753339111805,-0.04040018514206149
3,3,0.532027006149292,0.001527372864075005,0.0894626334595581
4,0,0.4167732000350952,0.006547166500240564,0.032115626157616727
4,1,0.5554141998291016,0.001677560736425221,0.10180653320125678
4,2,0.49424421787261963,0.0024261956568807364,-0.12155150335168184
4,3,0.5365121364593506,0.0013624581042677164,0.08960314440488353
5,0,0.536247193813324,0.009025435894727707,0.26866338097717485
5,1,0.5072128772735596,0.0006808091420680285,-0.2982729908313083
5,2,0.47956258058547974,0.000167989288456738,0.14250340212201626
5,3,0.5367051362991333,0.000877553946338594,-0.0451699380108519
