sample,block,mean_alpha,std_alpha,corr_inv_alpha_grad
0,0,0.5617634057998657,0.005819641053676605,0.4189896251859619
0,1,0.7199226021766663,0.00627647852525115,0.17434863339364126
0,2,0.5952374935150146,0.006675519049167633,-0.0681969046746465
0,3,0.5620729327201843,0.002674509771168232,0.579400802939066
1,0,0.561640739440918,0.005717042833566666,0.27486432228349506
1,1,0.7197286486625671,0.006351593881845474,0.08914162540519402
1,2,0.5950881242752075,0.006767450366169214,-0.05504259207626837
1,3,0.5621028542518616,0.0026791158597916365,0.3319141342342837
2,0,0.5617091655731201,0.005767696537077427,0.3815828784969824
2,1,0.7198031544685364,0.006319644395262003,0.15993334035937432
2,2,0.595120906829834,0.00674889562651515,-0.12016915931224408
2,3,0.5620900392532349,0.002676398493349552,0.4605032829030103
3,0,0.5618830919265747,0.006193875335156918,0.2230282763297846
3,1,0.7200925350189209,0.006532290484756231,0.4578316514841188
3,2,0.5956804752349854,0.006375142373144627,0.04311779894298124
3,3,0.5615520477294922,0.002819974208250642,0.4732672335658558
4,0,0.5617930889129639,0.005853896960616112,0.42322359115970193
4,1,0.7199357748031616,0.006271988153457642,0.10547902162113783
4,2,0.5953026413917542,0.0066273934207856655,-0.09936315915943206
4,3,0.5620419979095459,0.0026748045347630978,0.5489028036925455
5,0,0.5616680383682251,0.005733773112297058,0.3519106219400519
5,1,0.7197515964508057,0.006340852472931147,0.16310217466735896
5,2,0.595104992389679,0.0067558190785348415,-0.05947414016917853
5,3,0.5620967149734497,0.0026776937302201986,0.46255347609994873
