sample,block,mean_alpha,std_alpha,corr_inv_alpha_grad
0,0,0.46884170174598694,0.00010900515917455778,-0.6448629576592979
0,1,0.5614610910415649,0.0004743585013784468,0.6266228853190363
0,2,0.5307576656341553,0.00026026496198028326,0.6137879677357196
0,3,0.5739247798919678,0.010825703851878643,0.061229400196088905
1,0,0.4696863293647766,0.0003228731220588088,-0.8428922157975756
1,1,0.5622932314872742,0.0002353854797547683,0.8921492154131001
1,2,0.5311312079429626,0.00012901944865006953,0.8859077536170372
1,3,0.5829514861106873,0.012947330251336098,0.00976109781803816
2,0,0.46916258335113525,0.00024555035633966327,-0.8813050279550291
2,1,0.5623140335083008,0.00020941441471222788,0.8976139257949268
2,2,0.5311455130577087,0.00012924085604026914,0.8951654889266322
2,3,0.5833196640014648,0.013007696717977524,0.005880064674760159
3,0,0.46919000148773193,0.00024149501405190676,-0.6884235180970081
3,1,0.5624101161956787,0.00016248694737441838,0.7098059091837549
3,2,0.5312287211418152,6.190659769345075e-05,0.7148538511587603
3,3,0.5842808485031128,0.012459616176784039,-0.062356098762580955
