name,epoch,test_rel_l2,test_rel_h1,test_high_freq_rel_l2,test_enstrophy_err,test_mse,gate_entropy,dir
FNO,474,0.0004735652735689655,0.0028174269245937467,5.541629362106323,0.0003123553469777107,1.1846310883356637e-07,nan,/home/mamta/Projects/AW-FNO/results/fno_ns
WNO,427,0.0008932933560572565,0.006272273696959018,9.039837646484376,0.00011688322992995382,3.823304922434545e-07,nan,/media/HDD/mamta_backup/aw_fno_results/wno_ns
"AW-FNO (additive, v_F + v_W)",428,0.000161028747970704,0.0015969877713359892,3.3649724960327148,0.00013048178079770877,1.2544914618217717e-08,nan,/media/HDD/mamta_backup/aw_fno_results/awfno_ns_additive
"AW-FNO (fixed gate, α=0.5)",466,0.000143078803375829,0.0019137831637635826,4.095942687988281,8.38020391711325e-06,9.808920253817633e-09,nan,/media/HDD/mamta_backup/aw_fno_results/awfno_ns_no_gate
"AW-FNO (gate, random init, no pen.)",435,0.00019067997491220012,0.002087230375036597,4.197264814376831,2.0698985463241115e-05,1.7374842542494663e-08,0.688018798828125,/media/HDD/mamta_backup/aw_fno_results/awfno_ns_v3
"AW-FNO (gate, λ_ent=0.01)",468,0.00021680622885469347,0.0021105029387399553,4.233705854415893,0.00018622276838868855,2.2526580600867874e-08,0.3721289364621043,/media/HDD/mamta_backup/aw_fno_results/awfno_ns_fixed
