name,epoch,n_epochs,test_rel_l2,test_rel_h1,test_high_freq_rel_l2,test_enstrophy_err,gate_entropy
Bicubic (no model),0,0,0.41335721024559596,,,,
FNO,497,500,0.019296041071414947,0.15204648065567017,303.8099411621094,0.0006182323088869452,nan
FNO-fat (hc=128),499,500,0.019790675550699233,0.15685459983348846,325.3315302734375,0.0005563157352153212,nan
WNO,407,500,0.01794286696612835,0.15907861471176146,180.5507268676758,0.000982696995139122,nan
AW-FNO (fixed α=0.5),101,500,0.020989778399467467,0.19398484110832215,265.7122856445313,0.0012736369441263377,nan
AW-FNO (1×1 gate),481,500,0.01344057085365057,0.11594073617458343,173.68071728515625,0.0014374668672680856,0.6672002971172333
"AW-FNO (rich gate, k=5, 2L)",474,500,0.008987633571028709,0.08048979669809342,111.01705535888672,0.0020639534229412674,0.01702870731242001
